GraphSize,Connectivity,Drivers,Customers,Rides,Satisfaction,DriverWaitTime,RideDist,WeightAvg
1000,3.346921444,100,50,1584,4.776578283,22.40340909,4081.523359,757.8920048
1000,4.896902084,200,50,1951,4.762173244,47.946694,2357.302409,758.679821
1000,3.875829935,300,50,1765,4.756770538,76.61926346,3003.51898,767.2950566
1000,3.722275257,400,50,1707,4.75559461,102.4592853,3114.626831,729.2662373
1000,3.218847275,500,50,1570,4.754458599,129.0847134,3816.23121,740.4636872
1000,4.347301006,100,100,3519,4.786814436,3.787723785,2559.916454,760.2075298
1000,3.100219727,200,100,2838,4.764552502,25.90204369,4468.341438,774.5989684
1000,4.771992683,300,100,3576,4.762024609,34.8783557,2215.598154,758.6129436
1000,4.067568779,400,100,3389,4.761817645,54.94983771,2536.136028,754.7820324
1000,4.385272026,500,100,3361,4.751770306,67.59892889,3139.610533,764.9286039
1000,4.214175224,100,150,3975,4.749283019,1.825660377,2258.775094,758.4324324
1000,4.166485786,200,150,3854,4.762402698,16.70601972,3433.427348,750.684387
1000,3.937349796,300,150,3874,4.755627259,31.68766133,3169.48064,744.3476939
1000,4.921592712,400,150,3881,4.753285236,45.80133986,3043.562999,755.0348743
1000,3.040900946,500,150,3646,4.755567745,59.54251234,3802.81514,739.4655286
1000,4.627645969,100,200,3951,4.776360415,1.903568717,2050.44571,748.8339085
1000,4.145098209,200,200,3895,4.76593068,16.57175866,3478.477022,742.3537055
1000,3.875743389,300,200,3938,4.761858812,30.70949721,2597.733367,756.3381369
1000,3.522818565,400,200,3931,4.754006614,45.0775884,3272.246502,759.8690476
1000,4.973370552,500,200,3793,4.758317954,59.38518323,2653.858951,739.8976315
1000,3.141156673,100,250,3307,2.759177502,0.2685213184,4182.86453,743.3642721
1000,3.421568155,200,250,3938,4.770289487,14.48806501,3934.439309,750.3992995
1000,4.670473576,300,250,3950,4.760683544,31.39493671,2507.77038,741.8559829
1000,4.980448246,400,250,3884,4.761817714,45.6300206,2142.391349,743.1786143
1000,3.594341755,500,250,3844,4.750468262,57.60119667,3300.462019,741.7009967
1000,4.077224731,100,300,3914,4.696704139,1.19110884,2755.504599,748.2247796
1000,4.963253498,200,300,3852,4.762928349,19.51635514,2479.383437,764.9722669
1000,3.584383965,300,300,3874,4.762983996,31.34176562,2799.999484,721.4565702
1000,4.02960062,400,300,3798,4.754555029,47.09847288,2887.612954,774.8697375
1000,4.123381615,500,300,3953,4.758967873,56.1669618,2659.601821,747.0595642
1000,4.260168076,100,350,3863,4.700543619,1.1208905,2956.004918,742.039794
1000,4.23472929,200,350,3740,4.758850267,18.85240642,3497.286096,758.3657386
1000,3.526032448,300,350,3769,4.760918015,33.0854338,3062.035023,733.7967157
1000,4.02028513,400,350,3937,4.752933706,44.47142494,3238.344171,768.3720238
1000,3.13739872,500,350,3730,4.748337802,57.73404826,4079.808847,758.7393516
1000,4.087456703,100,400,3824,4.704262552,1.366631799,2761.870293,732.517561
1000,3.255542278,200,400,3657,4.770549631,17.73202078,3603.266885,741.9570289
1000,3.574753284,300,400,3711,4.755133387,33.52330908,3496.433306,745.7565606
1000,4.633544445,400,400,3814,4.762060829,48.0972732,2199.178028,748.9793371
1000,3.903661251,500,400,3840,4.756171875,57.63828125,3036.907292,733.580102
5000,3.299050808,100,50,1319,4.792949204,25.35633055,4527.496588,758.4577627
5000,3.478136063,200,50,1325,4.785056604,63.71018868,4674.944151,748.6509195
5000,3.403835535,300,50,1347,4.778025241,94.95916852,4097.036377,753.5340615
5000,3.208811998,400,50,1181,4.768839966,130.488569,6144.752752,754.8492588
5000,3.878446102,500,50,1462,4.77127223,131.6607387,3682.112175,754.6961856
5000,4.170611382,100,100,2896,4.797651934,3.392610497,3381.118439,747.794803
5000,4.5749259,200,100,2858,4.784114766,25.54268719,3630.16725,748.9824301
5000,3.195739746,300,100,2570,4.78463035,48.04357977,3982.340856,753.6712552
5000,3.865899801,400,100,2639,4.770746495,63.58355438,4442.32967,755.6913848
5000,3.999866009,500,100,2825,4.770654867,76.7840708,3406.967434,754.0990604
5000,4.664404392,100,150,3550,4.325774648,0.2250704225,2985.433521,747.0354908
5000,3.766644478,200,150,3685,4.790881954,15.29199457,3962.385075,752.9421505
5000,4.177752495,300,150,3801,4.781531176,29.56958695,3784.089976,750.1584187
5000,3.999293804,400,150,3749,4.778340891,45.18858362,3500.173913,752.8189724
5000,3.842125416,500,150,3739,4.771409468,57.56378711,3912.926986,748.4377602
5000,4.997430325,100,200,3504,3.588127854,0.3219178082,3503.442066,755.60104
5000,3.44154501,200,200,3845,4.793342003,12.80104031,4047.720416,752.8831184
5000,4.478238106,300,200,3786,4.779820391,31.14844163,3583.313788,752.0754532
5000,4.838770866,400,200,3903,4.777068921,43.5467589,2917.690494,750.7449814
5000,4.423879623,500,200,3786,4.767221342,56.98098257,3806.308241,749.2529369
5000,4.391041756,100,250,3462,2.75361063,0.2758521086,3024.142981,751.0905946
5000,4.572732925,200,250,3855,4.789416342,14.82178988,3257.368093,754.3899816
5000,3.632891178,300,250,3711,4.783050391,29.54432767,4055.886553,744.8956407
5000,3.678422451,400,250,3790,4.78005277,42.43139842,3892.582322,749.751386
5000,4.911761761,500,250,3781,4.769293838,58.92409415,3034.762761,747.4498616
5000,4.441000938,100,300,3384,2.208126478,0.2949172577,3662.832151,752.0573409
5000,3.040862083,200,300,3745,4.793805073,10.53751669,5055.715621,754.7139663
5000,4.30363369,300,300,3763,4.779564178,31.65798565,3618.777837,748.5108675
5000,3.704059601,400,300,3759,4.77565842,45.12902368,3849.505188,753.4623934
5000,3.488116264,500,300,3828,4.770768025,55.553814,5062.890021,753.3581251
5000,3.139095306,100,350,2659,0.1877397518,0.3711921775,5208.73223,742.5477131
5000,4.541106224,200,350,3793,4.78771421,15.44423939,3014.490377,743.8131162
5000,4.31489706,300,350,3838,4.779989578,29.92939031,3717.982543,744.9068582
5000,3.276758909,400,350,3850,4.77787013,42.63142857,4706.262338,746.0551489
5000,4.833687782,500,350,3747,4.773365359,58.10008006,2826.843875,742.1917604
5000,4.650669098,100,400,3462,2.002801849,0.2475447718,3289.832178,751.1995358
5000,3.304333687,200,400,3804,4.793401682,11.55520505,5237.358833,754.5582577
5000,4.315448284,300,400,3964,4.781861756,28.69525732,3530.470232,749.113468
5000,4.884812355,400,400,3867,4.774321179,44.05585725,3087.306181,746.9003029
5000,3.101925135,500,400,3927,4.77346575,52.05780494,5699.208047,740.3626402
10000,3.096555233,100,50,1138,4.797539543,28.49648506,5844.710018,749.1143835
10000,3.836186171,200,50,1331,4.790608565,61.19459053,4317.17731,754.5934633
10000,4.336499691,300,50,1379,4.786366933,91.56200145,4472.97897,753.2812284
10000,3.932206869,400,50,1326,4.778355958,126.7993967,4637.966817,753.4713181
10000,3.21804285,500,50,1204,4.784468439,146.7898671,4587.645349,742.9216576
10000,3.981255293,100,100,2559,4.799257522,3.72254787,4219.858929,751.7508037
10000,4.104067326,200,100,2722,4.793570904,25.26818516,3325.737325,744.0809415
10000,4.457806587,300,100,2782,4.787095615,43.24910137,3419.346154,751.4872841
10000,4.989925861,400,100,2874,4.783576896,60.43876131,2932.88483,750.397291
10000,4.653284073,500,100,2698,4.775463306,78.63194959,3953.947739,752.3196855
10000,3.114122391,100,150,2331,3.852895753,0.3753753754,6641.800944,753.4333783
10000,3.558714628,200,150,3545,4.796445698,14.5438646,4235.488858,758.7185077
10000,4.799684048,300,150,3649,4.786105782,30.43080296,4214.000274,753.7495938
10000,3.988505363,400,150,3482,4.786243538,46.10396324,4671.487364,751.8044219
10000,3.802176476,500,150,3528,4.781774376,59.10941043,4661.990363,749.5845474
10000,4.153223991,100,200,3206,3.323830318,0.294135995,2933.059888,751.6444701
10000,4.538916111,200,200,3825,4.793751634,13.79424837,3488.269542,750.3937178
10000,3.640764713,300,200,3787,4.790546607,25.83073673,4955.242408,751.1383306
10000,3.340060711,400,200,3699,4.789186267,42.44849959,4224.318194,750.3332535
10000,4.860644341,500,200,3905,4.779974392,54.25147247,3004.976953,753.3482
10000,4.337839603,100,250,3090,2.467993528,0.2883495146,3805.219417,748.4697123
10000,3.937871456,200,250,4035,4.795266419,10.6535316,4045.556134,751.5533438
10000,3.373901606,300,250,3857,4.792351569,24.85299456,4807.424942,753.3625533
10000,4.479793549,400,250,3779,4.784413866,42.83778777,3580.706801,748.3584661
10000,3.738773823,500,250,3853,4.782507137,52.81079678,4683.539839,753.7650016
10000,3.924640656,100,300,3121,1.548766421,0.2467157962,3386.908042,750.6929896
10000,4.19574213,200,300,3808,4.793986345,12.06538866,4689.285189,750.7078727
10000,4.28796339,300,300,3960,4.790757576,25.91161616,3554.349747,751.7924555
10000,4.76728344,400,300,3950,4.783392405,40.91291139,3318.311392,754.0542831
10000,3.212753057,500,300,3707,4.783140005,53.32991637,5636.697869,751.2053533
10000,4.743741512,100,350,3173,1.183769303,0.2741884652,3714.143397,750.0511761
10000,3.120022297,200,350,3778,4.797776601,9.289835892,4927.123081,749.7386735
10000,3.194822311,300,350,3932,4.793921668,23.54806714,5045.917599,749.9446079
10000,3.499230385,400,350,3832,4.788856994,41.23799582,4416.637265,744.9122807
10000,3.523527145,500,350,3779,4.782931993,55.07673988,4469.758931,754.4511974
10000,4.662592411,100,400,3227,1.300030989,0.2925317632,3173.153703,750.0203679
10000,3.108480453,200,400,3784,4.79730444,7.411205074,6006.104651,750.3248842
10000,3.011096001,300,400,3773,4.792764378,23.54571959,6235.582825,753.2256608
10000,4.805812836,400,400,3783,4.782368491,44.64710547,3189.548771,746.6909091
10000,4.911554813,500,400,3695,4.777537212,56.98538566,3638.875507,752.6446951